KEY,LANGUAGE,TEXT
234881028,E,Exception Status
234881025,E,diagnosticCategory
234881029,E,Exception Diagnostic
235208960,E,Invalid adapter configuration
235208976,E,Failed to close connection
235208980,E,Connection terminated
235208981,E,Connection timeout
235208983,E,1 Invalid control message
235208961,E,Failed to create connection
235208986,E,Failed to create interpreter
235208989,E,Failed to create outbound message
235208970,E,Field index exeeds limit 1
235208987,E,Failed to flatten
235208985,E,Failed to initialize adapter
235208977,E,Failed to initialize socket
235208972,E,Input stream is not ready
235208967,E,Failed to locate ID of 1 for 2 category of 3 codeset
235208984,E,1 Property is missing or undefined
235208978,E,Failed to receive message
235208968,E,1 reply platform is invalid
235208982,E,Failed to send message
235208975,E,"1 Illegal target method name, ablogon expected"
235208966,E,Failed to translate 1 category 2 code from 3 codeset to 4 codeset 
235208979,E,Unexpected 1 message received
235208988,E,Failed to unflatten
235208964,E,1 Unknown Client Type
235208965,E,1 Unknown Controller 
235208973,E,1 Unknown Interpreter
235208971,E,Unknown list type
235208969,E,1 Unknown Method
235208974,E,1 Unknown Parser
235208962,E,1 Unknown Semantics
235208963,E,1 Unknown Syntax 
234881026,E,diagnosticMessage
234881027,E,diagnosticSeverity
33554437,E,Parallel Message Controller Type
33882374,E,Parallel Message Controller
33554433,E,diagnosticCategory
33554436,E,Exception Diagnostic
33816833,E,1 Invalid class number
33816837,E,Failed to commit message
33816832,E,Failed to create coarse message
33816836,E,Failed to create coarse object
33816834,E,Failed to dispatch coarse object
33816835,E,Failed to create message context
33816839,E,Platform 1 is not supported
33554434,E,diagnosticMessage
33685768,E,Expected message node COID is missing
33554435,E,diagnosticSeverity
251658244,E,Exception Status
251658241,E,diagnosticCategory
251658245,E,Exception Diagnostic
251986176,E,Failed to locate description for 1 mri code
251986177,E,Failed to load mri maps
251658242,E,diagnosticMessage
251658243,E,diagnosticSeverity
167772161,E,diagnosticCategory
167772164,E,Exception Diagnostic
168034569,E,Channel is not defined
168034573,E,Failed to close connection
168034574,E,Failed to commit message
168034565,E,Failed to initialize connection
168034567,E,Failed to create message
168034575,E,Failed to get message from queue
168034571,E,Host is not defined
168034566,E,Failed to create Initial Context
168034562,E,Failed to retrieve CorrelationID
168034560,E,Failed to locate 1 object in JNDI namespace
168034561,E,"MQ error, reason code 1"
168034564,E,Failed to retrieve message cargo
168034563,E,Invalid message type
168034577,E,Failed to open queue
168034570,E,Port is not defined
168034576,E,Failed to put message on queue
168034572,E,Queue Manager is not defined
168034568,E,Queue is not defined
167772162,E,diagnosticMessage
167772163,E,diagnosticSeverity
100663297,E,country
100729088,E,Canada
100729089,E,USA
100663303,E,Change log details
101122378,E,Apartment number  
101122381,E,City
101122383,E,Country
101122382,E,Country Code
101122391,E,Descriptor  
101122384,E,Line 1
101122385,E,Line 2
101122386,E,Postal Code
101122392,E,Region
101122387,E,Region Code
101122388,E,Street
101122389,E,Street Number
101122390,E,TD Customer link
100663301,E,diagnosticMessage
100991307,E,Error adding change log detail 1
100991308,E,Error adding change log entry
100991332,E,Postal Code/Zip Code is incorrectly formatted
100991331,E,Country is invalid
100991253,E,Invalid Postal Code
100991330,E,Province/State is invalid
100991329,E,Postal Code/Zip Code must be provided
100991328,E,field in address was truncated because its length exceeds size characters long.
100663302,E,Change log events
101056840,E,Address created
101056841,E,Address updated
100663298,E,lang
100794714,E,Client Code
100794626,E,English
100794627,E,French
100663299,E,region
100860231,E,Alabama    
100860188,E,Alaska
100860164,E,Alberta
100860230,E,Arizona
100860189,E,Arkansas
100860165,E,British Columbia
100860166,E,California
100860251,E,Canal Zone    
100860190,E,Colorado
100860191,E,Connecticut
100860252,E,Delaware    
100860192,E,District Of Columbia
100860249,E,Federal
100860167,E,Florida
100860185,E,Georgia
100860253,E,Guam    
100860193,E,Hawaii
100860205,E,Idaho
100860194,E,Illinois
100860206,E,Indiana
100860195,E,Iowa
100860207,E,Kansas
100860196,E,Kentucky
100860187,E,Labrador
100860208,E,Louisiana
100860197,E,Maine
100860168,E,Manitoba
100860209,E,Maryland
100860198,E,Massachusetts
100860210,E,Michigan
100860199,E,Minnesota
100860211,E,Mississippi
100860200,E,Missouri
100860212,E,Montana
100860201,E,Nebraska
100860186,E,Nevada
100860169,E,New Brunswick
100860202,E,New Hampshire
100860213,E,New Jersey
100860203,E,New Mexico
100860170,E,New York
100860171,E,Newfoundland and Labrador
100860204,E,North Carolina
100860226,E,Tennessee
100860177,E,Texas
100860227,E,Utah
100860220,E,Vermont
100860228,E,Virgin Islands
100860219,E,Virginia
100860184,E,Washington
100860221,E,West Virginia
100860229,E,Wisconsin
100860222,E,Wyoming
100860183,E,Yukon 
100663300,E,usage
100925714,E,Business
100925715,E,Home
100925716,E,useBy
134217729,E,boolean
134283520,E,FALSE
134283521,E,NO
134283522,E,TRUE
134283523,E,YES
134217736,E,Exception Diagnostic
134742339,E,1 Currency is not identical to 2 currency
134742340,E,Invalid date
134742337,E,Day is negative
134742338,E,Devisor is zero
134742342,E,Invalid Interval
134742343,E,Invalid Period
134742341,E,Invalid Seed Date 
134742335,E,Year is negative
134742336,E,Invalid week of month
134217735,E,duartionTypes
134676797,E,Duration
134676798,E,Duration of included days
134217730,E,freq
134349060,E,Annual
134349110,E,Bi-monthly
134349061,E,Biweekly
134349111,E,Business Daily
134349109,E,Daily
134349129,E,Daily - Yesterday was BD
134349062,E,Invalid
134349063,E,Month End
134349064,E,Monthly
134349065,E,One Time
134349066,E,Quarterly
134349067,E,Semi-Annual
134349068,E,Semi-Monthly
134349069,E,Weekly
134217733,E,holidayAdjustment
134545706,E,Backward
134545707,E,Forward
134545708,E,None
134217734,E,indirectDates
134611249,E,Beginning of last month
134611250,E,Beginning of last year
134611248,E,Beginning of month
134611247,E,Beginning of year
134611257,E,Day after LBD
134611274,E,Day after second LBD
134611259,E,Day before NBD
134611252,E,End of last month 
134611251,E,End of last year  
134611258,E,End of month 
134611246,E,Last business day
134611260,E,Next business day
134611256,E,Today
134611272,E,Tomorrow
134611275,E,Week Prior
134611245,E,Yesterday
134217731,E,mri
134414606,E,INVALID
134414607,E,NULL
134217732,E,timeZone    
