ADMIN_UNIT_COID,ADDRESS_CITY,ADD_REGION_CODE
CI 0005 04042             ,Akron,OH
CI 0005 00452             ,Albuquerque,NM
CI 0005 00761             ,Albuquerque,NM
CI 0005 04252             ,Albuquerque,NM
CI 0005 05452             ,Albuquerque,NM
CI 0005 06552             ,Albuquerque,NM
CI 0005 00321             ,Alexandria,VA
CI 0005 00911             ,Alexandria,VA
CI 0005 06892             ,Amarillo,TX
CI 0005 07051             ,Anaheim,CA
CI 0005 00004             ,Anchorage,AK
CI 0005 00304             ,Anchorage,AK
CI 0005 00504             ,Anchorage,AK
CI 0005 00594             ,Anchorage,AK
CI 0005 00694             ,Anchorage,AK
CI 0005 00647             ,Arlington,TX
CI 0005 00078             ,Atlanta,GA
CI 0005 00828             ,Atlanta,GA
CI 0005 00999             ,Augusta,GA
CI 0005 01799             ,Augusta,GA
CI 0005 02099             ,Augusta,GA
CI 0005 00340             ,Aurora,IL
CI 0005 04040             ,Aurora,IL
CI 0005 08039             ,Aurora,CO
CI 0005 00021             ,Austin,TX
CI 0005 00041             ,Austin,TX
CI 0005 00031             ,Austin,TX
CI 0005 00101             ,Austin,TX
CI 0005 00111             ,Austin,TX
CI 0005 00241             ,Austin,TX
CI 0005 00301             ,Austin,TX
CI 0005 00331             ,Austin,TX
CI 0005 00501             ,Austin,TX
CI 0005 00531             ,Austin,TX
CI 0005 00631             ,Austin,TX
CI 0005 00641             ,Austin,TX
CI 0005 00731             ,Austin,TX
CI 0005 00831             ,Austin,TX
CI 0005 00841             ,Austin,TX
CI 0005 00931             ,Austin,TX
CI 0005 01011             ,Austin,TX
CI 0005 01141             ,Austin,TX
CI 0005 01201             ,Austin,TX
CI 0005 01211             ,Austin,TX
CI 0005 01601             ,Austin,TX
CI 0005 01501             ,Austin,TX
CI 0005 02011             ,Austin,TX
CI 0005 04041             ,Austin,TX
CI 0005 07001             ,Austin,TX
CI 0005 08001             ,Austin,TX
CI 0005 08041             ,Austin,TX
CI 0005 08701             ,Austin,TX
CI 0005 09401             ,Austin,TX
CI 0005 09411             ,Austin,TX
CI 0005 09481             ,Austin,TX
CI 0005 09521             ,Austin,TX
CI 0005 09911             ,Austin,TX
CI 0005 04352             ,Bakersfield,CA
CI 0005 05352             ,Bakersfield,CA
CI 0005 07652             ,Bakersfield,CA
CI 0005 09061             ,Baltimore,MD
CI 0005 00779             ,Baton Rouge,LA
CI 0005 00094             ,Birmingham,AL
CI 0005 00440             ,Boise,ID
CI 0005 04940             ,Boise,ID
CI 0005 00152             ,Boston,MA
CI 0005 00952             ,Boston,MA
CI 0005 02352             ,Boston,MA
CI 0005 03152             ,Boston,MA
CI 0005 03452             ,Boston,MA
CI 0005 05552             ,Boston,MA
CI 0005 06052             ,Boston,MA
CI 0005 08252             ,Boston,MA
CI 0005 00352             ,Boston,MA
CI 0005 05652             ,Bridgeport,CT
CI 0005 00243             ,Brownsville,TX
CI 0005 00650             ,Buffalo,NY
CI 0005 03950             ,Buffalo,NY
CI 0005 08950             ,Buffalo,NY
CI 0005 09450             ,Buffalo,NY
CI 0005 04072             ,Cape Coral,FL
CI 0005 00898             ,Greensboro,NC
CI 0005 00978             ,Greensboro,NC
CI 0005 00018             ,Chandler,AZ
CI 0005 00218             ,Chandler,AZ
CI 0005 00418             ,Chandler,AZ
CI 0005 00518             ,Chandler,AZ
CI 0005 00618             ,Chandler,AZ
CI 0005 00718             ,Chandler,AZ
CI 0005 00818             ,Chandler,AZ
CI 0005 00858             ,Chandler,AZ
CI 0005 00918             ,Chandler,AZ
CI 0005 01018             ,Chandler,AZ
CI 0005 03342             ,Charlotte,NC
CI 0005 00328             ,Chattanooga,TN
CI 0005 00904             ,Chesapeake,VA
CI 0005 02842             ,Chesapeake,VA
CI 0005 00102             ,Chicago,IL
CI 0005 00112             ,Chicago,IL
CI 0005 00122             ,Chicago,IL
CI 0005 00212             ,Chicago,IL
CI 0005 00302             ,Chicago,IL
CI 0005 00402             ,Chicago,IL
CI 0005 00502             ,Chicago,IL
CI 0005 00522             ,Chicago,IL
CI 0005 00512             ,Chicago,IL
CI 0005 00532             ,Chicago,IL
CI 0005 00602             ,Chicago,IL
CI 0005 00612             ,Chicago,IL
CI 0005 00732             ,Chicago,IL
CI 0005 00722             ,Chicago,IL
CI 0005 00802             ,Chicago,IL
CI 0005 00822             ,Chicago,IL
CI 0005 00912             ,Chicago,IL
CI 0005 00902             ,Chicago,IL
CI 0005 01002             ,Chicago,IL
CI 0005 01022             ,Chicago,IL
CI 0005 01012             ,Chicago,IL
CI 0005 01112             ,Chicago,IL
CI 0005 01202             ,Chicago,IL
CI 0005 01302             ,Chicago,IL
CI 0005 01412             ,Chicago,IL
CI 0005 01502             ,Chicago,IL
CI 0005 01602             ,Chicago,IL
CI 0005 01702             ,Chicago,IL
CI 0005 01712             ,Chicago,IL
CI 0005 01622             ,Chicago,IL
CI 0005 01802             ,Chicago,IL
CI 0005 01822             ,Chicago,IL
CI 0005 01902             ,Chicago,IL
CI 0005 02002             ,Chicago,IL
CI 0005 02012             ,Chicago,IL
CI 0005 02032             ,Chicago,IL
CI 0005 02102             ,Chicago,IL
CI 0005 02322             ,Chicago,IL
CI 0005 02522             ,Chicago,IL
CI 0005 02402             ,Chicago,IL
CI 0005 02812             ,Chicago,IL
CI 0005 02832             ,Chicago,IL
CI 0005 02802             ,Chicago,IL
