ACCOUNT_COID,PURPRINCIPAL
CI 0014 416267551         , 108.3532
CI 0014 416267161         , 5137.1592
CI 0014 416262494         , 3247.518
CI 0014 416265454         , 508.8428
CI 0014 416261470         , 2569.2332
CI 0014 416267555         , 19827.716
CI 0014 600039865         , 1900.0
CI 0014 416260350         , 5427.5552
CI 0014 416269310         , 9844.9336
CI 0014 416263359         , 13740.3516
CI 0014 416265437         , 10434.1844
CI 0014 416268142         , 7677.482
CI 0014 416266251         , 902.7888
CI 0014 416266908         , 5247.8836
CI 0014 416269311         , 11385.1876
CI 0014 416265531         , 447.7312
CI 0014 416265530         , 14771.4512
CI 0014 416262710         , 26530.6196
CI 0014 416267493         , 11809.564
CI 0014 416268467         , 19423.89
CI 0014 416260278         , 8204.5876
CI 0014 416269304         , 2868.278
CI 0014 416263763         , 10800.9908
CI 0014 416263296         , 11504.1808
CI 0014 600039864         , 1900.0
CI 0014 600039866         , 29267.5924
CI 0014 416268744         , 552.6112
CI 0014 416267448         , 12869.536
CI 0014 416270085         , 48977.0448
CI 0014 416269283         , 290.1832
CI 0014 416263729         , 3317.4532
CI 0014 416265368         , 10696.924
CI 0014 416270519         , 13094.42
CI 0014 416270186         , 27030.2892
CI 0014 416269495         , 5615.2904
CI 0014 416260871         , 4207.5956
CI 0014 416261413         , 4427.2812
CI 0014 416264807         , 20245.944
CI 0014 416268177         , 1841.2292
CI 0014 416268238         , 8246.5092
CI 0014 600039868         , 4769.0228
CI 0014 416264359         , 13222.0848
CI 0014 416265865         , 46508.5876
CI 0014 600039867         , 2439.9876
CI 0014 416267226         , 10750.6788
CI 0014 416265376         , 14863.8292
CI 0014 416261471         , 550.5592
CI 0014 416263398         , 18026.5388
CI 0014 416263614         , 161.4468
CI 0014 416263722         , 5765.7932
CI 0014 416270490         , 2542.5724
CI 0014 416268158         , 6303.6224
CI 0014 416269055         , 697.3608
CI 0014 416266830         , 222.7864
CI 0014 416265373         , 8997.4272
CI 0014 416265743         , 7311.7928
CI 0014 416264034         , 12039.2132
CI 0014 416263732         , 9440.3172
CI 0014 416268536         , 1858.5268
CI 0014 416265370         , 5875.6892
CI 0014 416261281         , 2458.6912
CI 0014 416269633         , 4946.8476
CI 0014 600039870         , 20152.7908
CI 0014 416262792         , 1863.862
CI 0014 416269314         , 3475.7308
CI 0014 416265397         , 20035.614
CI 0014 416270094         , 40642.1248
CI 0014 416261672         , 8172.3256
CI 0014 416266925         , 1885.0052
CI 0014 416260101         , 1346.0816
CI 0014 416267398         , 9730.1736
CI 0014 416268969         , 16909.6048
CI 0014 416269313         , 15821.4064
CI 0014 416267581         , 11700.9828
